Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11641.400391,11881.799805,11574.400391,11610.000000,11609.988281,0
2000-01-04,11530.000000,11530.000000,11159.799805,11206.599609,11206.587891,0
2000-01-05,11068.099609,11068.099609,10824.900391,10863.099609,10863.088867,0
2000-01-06,null,null,null,null,null,null
2000-01-07,10882.700195,11137.900391,10882.700195,11102.400391,11102.388672,0
2000-01-10,11120.599609,11364.299805,11120.599609,11173.299805,11173.288086,0
2000-01-11,11173.299805,11234.599609,10919.900391,11012.400391,11012.389648,0
2000-01-12,10947.099609,10947.099609,10821.400391,10851.799805,10851.789063,0
2000-01-13,10851.799805,11169.799805,10827.599609,10931.900391,10931.889648,0
2000-01-14,10976.299805,11212.099609,10976.299805,11184.000000,11183.988281,0
2000-01-17,11191.500000,11394.200195,11191.500000,11285.599609,11285.587891,0
2000-01-18,11285.599609,11355.400391,11032.500000,11066.299805,11066.289063,0
2000-01-19,11066.299805,11134.400391,10931.599609,11120.700195,11120.688477,0
2000-01-20,11120.700195,11258.099609,10970.400391,11047.599609,11047.588867,0
2000-01-21,11047.599609,11073.900391,10904.400391,10969.299805,10969.289063,0
2000-01-24,10969.299805,11142.200195,10908.799805,10955.000000,10954.989258,0
2000-01-25,10901.500000,10901.500000,10808.799805,10863.500000,10863.489258,0
2000-01-26,10923.599609,11044.299805,10923.599609,11031.400391,11031.389648,0
2000-01-27,11084.200195,11293.599609,11084.200195,11206.599609,11206.587891,0
2000-01-28,11206.599609,11310.900391,10987.500000,11009.299805,11009.289063,0
2000-01-31,10960.000000,10960.000000,10770.500000,10835.099609,10835.088867,0
2000-02-01,10840.000000,10987.900391,10840.000000,10970.000000,10969.989258,0
2000-02-02,10970.000000,11215.799805,10926.700195,11195.599609,11195.587891,0
2000-02-03,11208.900391,11564.500000,11208.900391,11544.099609,11544.087891,0
2000-02-04,11544.099609,11704.900391,11510.700195,11580.099609,11580.087891,0
2000-02-07,11580.099609,11708.700195,11469.000000,11506.799805,11506.788086,0
2000-02-08,11506.799805,11834.799805,11492.000000,11834.799805,11834.788086,0
2000-02-09,11851.099609,12102.799805,11851.099609,11939.500000,11939.488281,0
2000-02-10,11939.500000,12067.599609,11757.799805,12020.599609,12020.587891,0
2000-02-11,12133.799805,12463.700195,12133.799805,12432.599609,12432.586914,0
2000-02-14,12432.599609,12912.299805,12333.500000,12458.599609,12458.586914,0
2000-02-15,12458.599609,12633.200195,12144.400391,12165.099609,12165.086914,0
2000-02-16,12165.099609,12390.500000,12089.900391,12235.099609,12235.086914,0
2000-02-17,12235.099609,12418.799805,12126.000000,12326.700195,12326.687500,0
2000-02-18,12326.700195,12474.099609,12323.799805,12368.000000,12367.987305,0
2000-02-21,12292.799805,12292.799805,12112.900391,12260.299805,12260.287109,0
2000-02-22,12260.299805,12411.200195,12053.900391,12076.900391,12076.887695,0
2000-02-23,12119.299805,12318.200195,12119.299805,12312.299805,12312.287109,0
2000-02-24,12312.299805,12572.900391,12312.099609,12352.299805,12352.287109,0
2000-02-25,12456.200195,12695.000000,12456.200195,12690.900391,12690.887695,0
2000-02-28,12690.900391,12710.500000,12372.299805,12467.000000,12466.987305,0
2000-02-29,12499.700195,12625.900391,12499.700195,12585.799805,12585.787109,0
2000-03-01,12585.799805,12702.400391,12500.900391,12538.700195,12538.687500,0
2000-03-02,12538.700195,12711.599609,12450.200195,12709.599609,12709.586914,0
2000-03-03,12709.599609,12864.799805,12315.299805,12745.000000,12744.987305,0
2000-03-06,12745.000000,12852.900391,12678.500000,12816.799805,12816.787109,0
2000-03-07,12816.799805,12968.500000,12654.200195,12667.200195,12667.187500,0
2000-03-08,12667.200195,12717.799805,12472.700195,12668.299805,12668.287109,0
2000-03-09,12668.299805,12744.599609,12539.799805,12563.200195,12563.187500,0
2000-03-10,12563.200195,12769.400391,12445.900391,12513.700195,12513.687500,0
2000-03-13,12513.700195,12862.799805,12198.099609,12359.700195,12359.687500,0
2000-03-14,12359.700195,12557.900391,12302.500000,12555.799805,12555.787109,0
2000-03-15,12468.900391,12468.900391,12229.599609,12279.500000,12279.487305,0
2000-03-16,12279.500000,12474.900391,12222.400391,12260.900391,12260.887695,0
2000-03-17,12260.900391,12553.599609,12206.400391,12369.799805,12369.787109,0
2000-03-20,12369.799805,12529.700195,12362.099609,12362.400391,12362.387695,0
2000-03-21,12362.400391,12375.400391,12156.700195,12308.299805,12308.287109,0
2000-03-22,12308.299805,12489.000000,12091.799805,12172.200195,12172.187500,0
2000-03-23,12172.200195,12273.200195,11970.900391,12073.299805,12073.287109,0
2000-03-24,12073.299805,12240.000000,12030.700195,12213.799805,12213.787109,0
2000-03-27,12213.799805,12266.500000,12120.700195,12162.000000,12161.987305,0
2000-03-28,12162.000000,12297.900391,12084.299805,12211.099609,12211.086914,0
2000-03-29,12204.799805,12204.799805,12043.200195,12088.599609,12088.586914,0
2000-03-30,12001.400391,12001.400391,11827.900391,11833.400391,11833.388672,0
2000-03-31,11833.400391,11978.900391,11633.799805,11935.000000,11934.988281,0
2000-04-03,11935.000000,11958.599609,11622.200195,11686.400391,11686.388672,0
2000-04-04,11686.400391,11771.500000,11575.200195,11584.200195,11584.188477,0
2000-04-05,11584.200195,11618.799805,11189.799805,11374.599609,11374.587891,0
2000-04-06,11412.700195,11648.099609,11412.700195,11607.900391,11607.888672,0
2000-04-07,11683.900391,11790.700195,11683.900391,11790.599609,11790.587891,0
2000-04-10,11790.599609,11918.500000,11743.799805,11768.700195,11768.688477,0
2000-04-11,11722.200195,11722.200195,11502.599609,11515.299805,11515.288086,0
2000-04-12,11515.299805,11667.200195,11499.099609,11542.099609,11542.087891,0
2000-04-13,11542.099609,11660.500000,11379.400391,11647.200195,11647.188477,0
2000-04-14,11632.000000,11632.000000,11323.400391,11363.900391,11363.888672,0
2000-04-17,11267.400391,11267.400391,10771.599609,11217.299805,11217.288086,0
2000-04-18,11217.299805,11390.900391,11117.900391,11261.500000,11261.488281,0
2000-04-19,11265.700195,11411.000000,11265.700195,11339.799805,11339.788086,0
2000-04-20,11339.799805,11543.299805,11317.200195,11502.000000,11501.988281,0
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,11460.599609,11460.599609,11325.400391,11425.500000,11425.488281,0
2000-04-26,11447.599609,11573.900391,11447.599609,11481.500000,11481.488281,0
2000-04-27,11481.500000,11525.400391,11232.700195,11273.000000,11272.988281,0
2000-04-28,11349.700195,11501.799805,11349.700195,11467.900391,11467.888672,0
2000-05-01,null,null,null,null,null,null
2000-05-02,11569.200195,11867.200195,11569.200195,11867.200195,11867.188477,0
2000-05-03,11867.200195,11974.400391,11633.500000,11667.900391,11667.888672,0
2000-05-04,11667.900391,11700.400391,11513.299805,11597.500000,11597.488281,0
2000-05-05,11597.500000,11652.500000,11454.700195,11560.900391,11560.888672,0
2000-05-08,11484.200195,11484.200195,11267.900391,11304.000000,11303.988281,0
2000-05-09,11304.000000,11366.299805,11053.500000,11071.700195,11071.689453,0
2000-05-10,11071.700195,11151.599609,10808.099609,10832.299805,10832.289063,0
2000-05-11,10832.299805,11038.599609,10685.599609,11036.299805,11036.289063,0
2000-05-12,11036.299805,11184.900391,10972.700195,11102.599609,11102.587891,0
2000-05-15,11102.599609,11164.700195,10938.299805,11009.299805,11009.289063,0
2000-05-16,11058.500000,11260.400391,11058.500000,11220.700195,11220.688477,0
2000-05-17,11220.700195,11227.599609,10899.099609,10905.299805,10905.289063,0
2000-05-18,10905.299805,11081.099609,10850.000000,10889.599609,10889.588867,0
2000-05-19,10889.599609,10930.900391,10488.299805,10544.900391,10544.889648,0
2000-05-22,10544.900391,10628.500000,10264.500000,10326.299805,10326.289063,0
2000-05-23,10330.900391,10503.799805,10330.900391,10380.099609,10380.088867,0
2000-05-24,10380.099609,10412.900391,10211.299805,10342.400391,10342.389648,0
2000-05-25,10382.500000,10588.900391,10382.500000,10560.599609,10560.588867,0
2000-05-26,10545.099609,10545.099609,10370.099609,10437.099609,10437.088867,0
2000-05-29,10437.099609,10563.799805,10436.900391,10558.900391,10558.889648,0
2000-05-30,10558.900391,10721.700195,10544.700195,10648.500000,10648.489258,0
2000-05-31,10648.500000,10813.099609,10643.500000,10688.500000,10688.489258,0
2000-06-01,10688.500000,10898.900391,10640.500000,10875.500000,10875.489258,0
2000-06-02,10875.500000,11220.500000,10870.799805,11141.500000,11141.488281,0
2000-06-05,11141.500000,11183.500000,10993.000000,11004.200195,11004.189453,0
2000-06-06,11004.200195,11047.700195,10751.099609,10782.500000,10782.489258,0
2000-06-07,10768.599609,10768.599609,10520.299805,10688.900391,10688.889648,0
2000-06-08,10738.599609,10954.900391,10738.599609,10799.599609,10799.588867,0
2000-06-09,10799.599609,11001.200195,10783.299805,10873.200195,10873.189453,0
2000-06-12,10873.200195,10961.299805,10766.200195,10791.299805,10791.289063,0
2000-06-13,10791.299805,10946.900391,10690.900391,10806.000000,10805.989258,0
2000-06-14,10806.000000,10965.799805,10798.500000,10880.700195,10880.689453,0
2000-06-15,10880.700195,10950.000000,10837.400391,10876.000000,10875.989258,0
2000-06-16,10876.000000,10918.799805,10663.599609,10723.799805,10723.789063,0
2000-06-19,10723.799805,10754.599609,10564.799805,10595.599609,10595.588867,0
2000-06-20,10595.599609,10688.500000,10563.400391,10563.400391,10563.389648,0
2000-06-21,10530.500000,10530.500000,10351.400391,10351.400391,10351.389648,0
2000-06-22,10413.099609,10566.200195,10413.099609,10490.500000,10490.489258,0
2000-06-23,10490.500000,10631.599609,10415.799805,10533.099609,10533.088867,0
2000-06-26,10533.099609,10603.299805,10467.200195,10488.900391,10488.889648,0
2000-06-27,10488.900391,10588.299805,10449.599609,10528.200195,10528.189453,0
2000-06-28,10528.200195,10615.500000,10505.900391,10583.200195,10583.189453,0
2000-06-29,10583.200195,10624.000000,10366.400391,10366.400391,10366.389648,0
2000-06-30,10387.599609,10605.299805,10387.599609,10581.299805,10581.289063,0
2000-07-03,10581.299805,10697.000000,10454.200195,10676.700195,10676.689453,0
2000-07-04,10676.700195,10892.200195,10661.500000,10848.900391,10848.889648,0
2000-07-05,10848.900391,10962.700195,10733.599609,10757.599609,10757.588867,0
2000-07-06,10757.599609,10845.000000,10685.099609,10739.599609,10739.588867,0
2000-07-07,10747.299805,10896.700195,10747.299805,10896.700195,10896.689453,0
2000-07-10,10896.700195,10920.700195,10807.700195,10828.900391,10828.889648,0
